sample,epochs (1800s)
fukunaga_blocks_probBLOCKS-10-0_dfs_fs_500x200,1040
fukunaga_blocks_probBLOCKS-10-1_dfs_fs_500x200,1000
fukunaga_blocks_probBLOCKS-10-2_dfs_fs_500x200,1040
fukunaga_blocks_probBLOCKS-11-0_dfs_fs_500x200,1020
fukunaga_blocks_probBLOCKS-11-1_dfs_fs_500x200,1050
fukunaga_blocks_probBLOCKS-11-2_dfs_fs_500x200,1130
fukunaga_blocks_probBLOCKS-12-0_dfs_fs_500x200,1080
fukunaga_blocks_probBLOCKS-12-1_dfs_fs_500x200,1110
fukunaga_blocks_probBLOCKS-13-0_dfs_fs_500x200,1080
fukunaga_blocks_probBLOCKS-13-1_dfs_fs_500x200,1080
fukunaga_blocks_probBLOCKS-14-0_dfs_fs_500x200,1040
fukunaga_blocks_probBLOCKS-14-1_dfs_fs_500x200,1100
fukunaga_blocks_probBLOCKS-15-0_dfs_fs_500x200,1060
fukunaga_blocks_probBLOCKS-15-1_dfs_fs_500x200,1070
fukunaga_blocks_probBLOCKS-16-1_dfs_fs_500x200,980
fukunaga_blocks_probBLOCKS-16-2_dfs_fs_500x200,970
fukunaga_blocks_probBLOCKS-17-0_dfs_fs_500x200,1020
fukunaga_blocks_probBLOCKS-4-0_dfs_fs_500x200,1770
fukunaga_blocks_probBLOCKS-4-1_dfs_fs_500x200,1760
fukunaga_blocks_probBLOCKS-4-2_dfs_fs_500x200,1820
fukunaga_blocks_probBLOCKS-5-0_dfs_fs_500x200,1180
fukunaga_blocks_probBLOCKS-5-1_dfs_fs_500x200,1180
fukunaga_blocks_probBLOCKS-5-2_dfs_fs_500x200,1180
fukunaga_blocks_probBLOCKS-6-0_dfs_fs_500x200,1170
fukunaga_blocks_probBLOCKS-6-1_dfs_fs_500x200,1110
fukunaga_blocks_probBLOCKS-6-2_dfs_fs_500x200,1150
fukunaga_blocks_probBLOCKS-7-0_dfs_fs_500x200,1150
fukunaga_blocks_probBLOCKS-7-1_dfs_fs_500x200,1160
fukunaga_blocks_probBLOCKS-7-2_dfs_fs_500x200,1150
fukunaga_blocks_probBLOCKS-8-0_dfs_fs_500x200,1150
fukunaga_blocks_probBLOCKS-8-1_dfs_fs_500x200,1120
fukunaga_blocks_probBLOCKS-8-2_dfs_fs_500x200,1150
fukunaga_blocks_probBLOCKS-9-0_dfs_fs_500x200,1110
fukunaga_blocks_probBLOCKS-9-1_dfs_fs_500x200,1160
fukunaga_blocks_probBLOCKS-9-2_dfs_fs_500x200,1100
fukunaga_depot_p01_dfs_fs_500x200,1000
fukunaga_depot_p02_dfs_fs_500x200,960
fukunaga_depot_p03_dfs_fs_500x200,940
fukunaga_depot_p04_dfs_fs_500x200,940
fukunaga_depot_p05_dfs_fs_500x200,900
