sample,expansions (600s)
fukunaga_blocks_probBLOCKS-10-0_dfs_fs_500x200,15202000
fukunaga_blocks_probBLOCKS-10-1_dfs_fs_500x200,15089000
fukunaga_blocks_probBLOCKS-10-2_dfs_fs_500x200,15641000
fukunaga_blocks_probBLOCKS-11-0_dfs_fs_500x200,12114000
fukunaga_blocks_probBLOCKS-11-1_dfs_fs_500x200,11087000
fukunaga_blocks_probBLOCKS-11-2_dfs_fs_500x200,12088000
fukunaga_blocks_probBLOCKS-12-0_dfs_fs_500x200,10340000
fukunaga_blocks_probBLOCKS-12-1_dfs_fs_500x200,10646000
fukunaga_blocks_probBLOCKS-13-0_dfs_fs_500x200,9719000
fukunaga_blocks_probBLOCKS-13-1_dfs_fs_500x200,10095000
fukunaga_blocks_probBLOCKS-14-0_dfs_fs_500x200,9038000
fukunaga_blocks_probBLOCKS-14-1_dfs_fs_500x200,8696000
fukunaga_blocks_probBLOCKS-15-0_dfs_fs_500x200,8792000
fukunaga_blocks_probBLOCKS-15-1_dfs_fs_500x200,10164000
fukunaga_blocks_probBLOCKS-16-1_dfs_fs_500x200,9133000
fukunaga_blocks_probBLOCKS-16-2_dfs_fs_500x200,9892000
fukunaga_blocks_probBLOCKS-17-0_dfs_fs_500x200,8114000
fukunaga_blocks_probBLOCKS-4-0_dfs_fs_500x200,1717000
fukunaga_blocks_probBLOCKS-4-1_dfs_fs_500x200,1334000
fukunaga_blocks_probBLOCKS-4-2_dfs_fs_500x200,1236000
fukunaga_blocks_probBLOCKS-5-0_dfs_fs_500x200,6817000
fukunaga_blocks_probBLOCKS-5-1_dfs_fs_500x200,7432000
fukunaga_blocks_probBLOCKS-5-2_dfs_fs_500x200,8919000
fukunaga_blocks_probBLOCKS-6-0_dfs_fs_500x200,13402000
fukunaga_blocks_probBLOCKS-6-1_dfs_fs_500x200,16980000
fukunaga_blocks_probBLOCKS-6-2_dfs_fs_500x200,20744000
fukunaga_blocks_probBLOCKS-7-0_dfs_fs_500x200,21428000
fukunaga_blocks_probBLOCKS-7-1_dfs_fs_500x200,24148000
fukunaga_blocks_probBLOCKS-7-2_dfs_fs_500x200,24186000
fukunaga_blocks_probBLOCKS-8-0_dfs_fs_500x200,22685000
fukunaga_blocks_probBLOCKS-8-1_dfs_fs_500x200,24277000
fukunaga_blocks_probBLOCKS-8-2_dfs_fs_500x200,20736000
fukunaga_blocks_probBLOCKS-9-0_dfs_fs_500x200,24090000
fukunaga_blocks_probBLOCKS-9-1_dfs_fs_500x200,21630000
fukunaga_blocks_probBLOCKS-9-2_dfs_fs_500x200,21344000
fukunaga_grid_prob01_dfs_fs_500x200,14123000
fukunaga_grid_prob02_dfs_fs_500x200,14861000
fukunaga_grid_prob03_dfs_fs_500x200,13929000
fukunaga_grid_prob04_dfs_fs_500x200,13807000
fukunaga_grid_prob05_dfs_fs_500x200,15119000
fukunaga_npuzzle_n6-1_dfs_fs_500x200,10758000
fukunaga_npuzzle_n6-2_dfs_fs_500x200,10517000
fukunaga_npuzzle_n6-3_dfs_fs_500x200,10716000
fukunaga_npuzzle_n6-4_dfs_fs_500x200,10648000
fukunaga_npuzzle_n7-1_dfs_fs_500x200,9395000
fukunaga_npuzzle_n7-2_dfs_fs_500x200,9319000
fukunaga_npuzzle_n7-3_dfs_fs_500x200,9256000
fukunaga_npuzzle_n7-4_dfs_fs_500x200,9281000
fukunaga_pipesworld-notankage_p01-net1-b6-g2_dfs_fs_500x200,2726000
fukunaga_pipesworld-notankage_p02-net1-b6-g4_dfs_fs_500x200,13628000
fukunaga_pipesworld-notankage_p03-net1-b8-g3_dfs_fs_500x200,13449000
fukunaga_pipesworld-notankage_p04-net1-b8-g5_dfs_fs_500x200,18486000
fukunaga_pipesworld-notankage_p05-net1-b10-g4_dfs_fs_500x200,11923000
fukunaga_pipesworld-notankage_p06-net1-b10-g6_dfs_fs_500x200,14862000
