domain,problem,epochs_1800s,expansions_300s,expansions_600s
blocks,prob-B-18-4,960,1237906,2475812
blocks,prob-B-20-1,970,1094846,2189691
blocks,prob-B-25-2,890,1640810,3281620
blocks,prob-B-30-1,830,1300266,2600531
blocks,prob-B-35-2,770,898871,1797742
blocks,probBLOCKS-10-0,1040,2165704,4331409
blocks,probBLOCKS-10-1,1040,2247402,4494805
blocks,probBLOCKS-10-2,1040,2184528,4369056
blocks,probBLOCKS-11-0,1030,1908892,3817784
blocks,probBLOCKS-11-1,1040,1892828,3785657
blocks,probBLOCKS-11-2,1020,1798074,3596149
blocks,probBLOCKS-12-0,1040,1729159,3458318
blocks,probBLOCKS-12-1,1020,1616541,3233082
blocks,probBLOCKS-13-0,1010,1548304,3096608
blocks,probBLOCKS-13-1,1020,1456022,2912045
blocks,probBLOCKS-14-0,1030,1585370,3170740
blocks,probBLOCKS-14-1,1010,1542996,3085992
blocks,probBLOCKS-15-0,1020,1485340,2970679
blocks,probBLOCKS-15-1,980,1395014,2790027
blocks,probBLOCKS-16-1,990,1421117,2842234
blocks,probBLOCKS-16-2,990,1391160,2782319
blocks,probBLOCKS-17-0,960,1462246,2924493
blocks,probBLOCKS-4-0,1120,811632,1623264
blocks,probBLOCKS-4-1,1110,804248,1608496
blocks,probBLOCKS-4-2,1130,806847,1613694
blocks,probBLOCKS-5-0,1070,2697474,5394949
blocks,probBLOCKS-5-1,1100,2686707,5373414
blocks,probBLOCKS-5-2,1070,2601087,5202174
blocks,probBLOCKS-6-0,1090,3885600,7771199
blocks,probBLOCKS-6-1,1080,4020510,8041019
blocks,probBLOCKS-6-2,1080,3987110,7974221
blocks,probBLOCKS-7-0,1050,4292860,8585721
blocks,probBLOCKS-7-1,1080,4106690,8213381
blocks,probBLOCKS-7-2,1070,4132131,8264262
blocks,probBLOCKS-8-0,1070,4038098,8076195
blocks,probBLOCKS-8-1,1050,4013372,8026743
blocks,probBLOCKS-8-2,1060,4111884,8223769
blocks,probBLOCKS-9-0,1060,3911458,7822915
blocks,probBLOCKS-9-1,1060,3887304,7774609
blocks,probBLOCKS-9-2,1050,3957270,7914539
blocks,source,1030,2269954,4539909
depot,p01,1090,2150854,4301707
depot,p02,1070,4107579,8215158
depot,p03,1050,3867792,7735585
depot,p04,1030,1011390,2022781
depot,p05,990,897570,1795141
depot,p06,950,724832,1449663
depot,p07,1050,1503968,3007935
depot,p08,990,666233,1332466
depot,p09,940,512147,1024294
depot,p10,1020,779686,1559371
depot,p11,970,612635,1225270
depot,p12,930,386180,772361
depot,p13,1040,696510,1393019
depot,p14,980,440820,881640
depot,p15,900,271106,542212
depot,p16,1020,345813,691626
depot,p17,970,243711,487422
depot,p18,920,204604,409208
depot,p19,990,302520,605039
depot,p20,890,211184,422369
depot,p21,880,124424,248847
depot,p22,710,55836,111671
grid,prob01,990,61682968,123365936
grid,prob02,930,1892708,3785415
grid,prob03-0,890,1811719,3623438
grid,prob04-0,830,1716105,3432210
grid,prob04-1,830,1904173,3808346
grid,prob04-2,830,1782150,3564300
grid,prob04-3,830,1608193,3216386
grid,prob04-4,820,1803956,3607911
grid,prob05-0,760,1564946,3129891
grid,prob05-1,770,1712968,3425937
grid,prob05-2,770,1866669,3733338
grid,prob05-3,770,1651342,3302683
grid,prob05-4,760,1671466,3342932
npuzzle,prob-n3-1,1030,4059848,8119695
npuzzle,prob-n3-2,1040,4199125,8398250
npuzzle,prob-n3-3,1080,4260788,8521577
npuzzle,prob-n3-4,1130,4067736,8135471
npuzzle,prob-n4-1,1100,2014895,4029790
npuzzle,prob-n4-2,990,2051727,4103454
npuzzle,prob-n4-3,990,2142930,4285859
npuzzle,prob-n4-4,980,2059590,4119179
npuzzle,prob-n5-1,900,1684644,3369288
npuzzle,prob-n5-2,900,1698476,3396951
npuzzle,prob-n5-3,910,1677374,3354748
npuzzle,prob-n5-4,900,1581332,3162663
npuzzle,prob-n6-1,760,1279131,2558262
npuzzle,prob-n6-2,760,1315336,2630673
npuzzle,prob-n6-3,760,1272545,2545090
npuzzle,prob-n6-4,770,1318564,2637129
npuzzle,prob-n7-1,610,1041443,2082886
npuzzle,prob-n7-2,600,1064686,2129371
npuzzle,prob-n7-3,610,1057372,2114743
npuzzle,prob-n7-4,600,1049138,2098277
npuzzle,prob-n8-1,480,846020,1692039
npuzzle,prob-n8-2,480,846147,1692294
npuzzle,prob-n8-3,480,848100,1696200
npuzzle,prob-n8-4,480,854880,1709759
npuzzle,prob-n9-1,350,588524,1177049
npuzzle,prob-n9-2,350,602098,1204195
npuzzle,prob-n9-3,340,590630,1181259
npuzzle,prob-n9-4,350,589366,1178733
pipesworld-notankage,p01-net1-b6-g2,1080,3627443,7254886
pipesworld-notankage,p02-net1-b6-g4,1100,3371909,6743818
pipesworld-notankage,p03-net1-b8-g3,1130,4042500,8085001
pipesworld-notankage,p04-net1-b8-g5,1140,3990564,7981127
pipesworld-notankage,p05-net1-b10-g4,1040,3994746,7989491
pipesworld-notankage,p06-net1-b10-g6,1040,4001098,8002195
pipesworld-notankage,p07-net1-b12-g5,1060,3956128,7912255
pipesworld-notankage,p08-net1-b12-g7,1040,3950072,7900145
pipesworld-notankage,p09-net1-b14-g6,1030,1465765,2931530
pipesworld-notankage,p10-net1-b14-g8,1040,1569174,3138347
pipesworld-notankage,p11-net2-b10-g2,1000,3222242,6444484
pipesworld-notankage,p12-net2-b10-g4,1000,2038202,4076403
pipesworld-notankage,p13-net2-b12-g3,990,1754480,3508959
pipesworld-notankage,p14-net2-b12-g5,990,1755026,3510053
pipesworld-notankage,p15-net2-b14-g4,970,2320937,4641874
pipesworld-notankage,p16-net2-b14-g6,970,2216322,4432643
pipesworld-notankage,p17-net2-b16-g5,960,1860280,3720559
pipesworld-notankage,p18-net2-b16-g7,940,1955448,3910897
pipesworld-notankage,p19-net2-b18-g6,930,2120464,4240929
pipesworld-notankage,p20-net2-b18-g8,930,2186011,4372022
pipesworld-notankage,p21-net3-b12-g2,960,2509959,5019918
pipesworld-notankage,p22-net3-b12-g4,960,1828043,3656086
pipesworld-notankage,p23-net3-b14-g3,930,1322846,2645692
pipesworld-notankage,p24-net3-b14-g5,940,1937237,3874474
pipesworld-notankage,p25-net3-b16-g5,910,1669810,3339620
pipesworld-notankage,p26-net3-b16-g7,920,1348307,2696614
pipesworld-notankage,p27-net3-b18-g6,890,1422256,2844512
pipesworld-notankage,p28-net3-b18-g7,890,1322866,2645732
pipesworld-notankage,p29-net3-b20-g6,870,1284456,2568912
pipesworld-notankage,p30-net3-b20-g8,900,859250,1718501
pipesworld-notankage,p31-net4-b14-g3,970,887692,1775383
pipesworld-notankage,p32-net4-b14-g5,970,1939462,3878923
pipesworld-notankage,p33-net4-b16-g5,970,1888431,3776862
pipesworld-notankage,p34-net4-b16-g6,950,1687468,3374935
pipesworld-notankage,p35-net4-b18-g4,920,1336636,2673271
pipesworld-notankage,p36-net4-b18-g6,920,1323478,2646957
pipesworld-notankage,p37-net4-b20-g5,910,1102967,2205934
pipesworld-notankage,p38-net4-b20-g7,910,1083365,2166730
pipesworld-notankage,p39-net4-b22-g7,860,880402,1760803
pipesworld-notankage,p40-net4-b22-g8,860,1029214,2058428
pipesworld-notankage,p41-net5-b22-g2,860,1266739,2533478
pipesworld-notankage,p42-net5-b22-g4,860,1091748,2183497
pipesworld-notankage,p43-net5-b24-g3,820,1035527,2071054
pipesworld-notankage,p44-net5-b24-g5,830,1036083,2072166
pipesworld-notankage,p45-net5-b26-g4,800,939659,1879318
pipesworld-notankage,p46-net5-b26-g6,800,935928,1871856
pipesworld-notankage,p47-net5-b28-g5,770,879334,1758669
pipesworld-notankage,p48-net5-b28-g7,770,875616,1751233
pipesworld-notankage,p49-net5-b30-g6,750,799998,1599997
pipesworld-notankage,p50-net5-b30-g8,740,772166,1544331
rovers,p01,1040,3912466,7824931
rovers,p02,1380,1872570,3745140
rovers,p03,1030,4219374,8438749
rovers,p04,1030,3969726,7939452
rovers,p05,1030,2969822,5939645
rovers,p06,1060,2655490,5310980
rovers,p07,1110,2047684,4095367
rovers,p08,1140,764578,1529156
rovers,p09,1060,860194,1720389
rovers,p10,1050,832313,1664626
rovers,p11,1050,2069794,4139587
rovers,p12,1060,841009,1682018
rovers,p13,1030,1121449,2242898
rovers,p14,1090,843280,1686560
rovers,p15,1050,899672,1799343
rovers,p16,1030,821238,1642476
rovers,p17,1020,488778,977556
rovers,p18,1000,368153,736306
rovers,p19,990,475984,951967
rovers,p20,970,325510,651020
rovers,p21,950,324609,649218
rovers,p22,940,394780,789559
rovers,p23,900,355676,711353
rovers,p24,910,328573,657146
rovers,p25,930,184182,368363
rovers,p26,930,324730,649460
rovers,p27,910,191372,382744
rovers,p28,880,281597,563194
rovers,p29,860,150994,301987
rovers,p30,820,151026,302052
rovers,p31,800,116310,232619
rovers,p32,750,94292,188584
rovers,p33,740,86755,173510
rovers,p34,710,61835,123670
rovers,p35,720,75870,151740
rovers,p36,710,74902,149804
rovers,p37,680,56181,112362
rovers,p38,640,62125,124250
rovers,p39,680,82927,165854
rovers,p40,590,47568,95135
scanalyzer-opt11-strips,p01,1720,456604,913209
scanalyzer-opt11-strips,p02,1090,4096146,8192291
scanalyzer-opt11-strips,p03,1070,4182057,8364114
scanalyzer-opt11-strips,p04,1050,797087,1594174
scanalyzer-opt11-strips,p05,1030,263853,527706
scanalyzer-opt11-strips,p06,1050,1053407,2106814
scanalyzer-opt11-strips,p07,970,33674,67347
scanalyzer-opt11-strips,p08,1020,125952,251904
scanalyzer-opt11-strips,p09,990,73051,146102
scanalyzer-opt11-strips,p10,980,44335,88670
scanalyzer-opt11-strips,p11,1040,1786922,3573844
scanalyzer-opt11-strips,p12,1040,1266474,2532948
scanalyzer-opt11-strips,p13,1040,2214400,4428801
scanalyzer-opt11-strips,p14,1030,1845858,3691717
scanalyzer-opt11-strips,p15,1010,329734,659468
scanalyzer-opt11-strips,p16,1000,150631,301262
scanalyzer-opt11-strips,p17,970,107352,214704
scanalyzer-opt11-strips,p18,960,75118,150235
scanalyzer-opt11-strips,p19,930,51602,103203
scanalyzer-opt11-strips,p20,980,512294,1024589
storage,p01,1860,54500,108999
storage,p02,1060,343868,687737
storage,p03,1050,1867202,3734404
storage,p04,1060,1323382,2646764
storage,p05,1050,3440934,6881869
storage,p06,1050,4240438,8480877
storage,p07,1050,4322709,8645418
storage,p08,1080,4424735,8849470
storage,p09,1070,4258454,8516908
storage,p10,1060,4431511,8863022
storage,p11,1060,4218394,8436787
storage,p12,1050,1676042,3352084
storage,p13,1030,4004036,8008072
storage,p14,1030,1681966,3363933
storage,p15,1020,970826,1941652
storage,p16,1000,734724,1469448
storage,p17,990,630322,1260643
storage,p18,970,484162,968323
storage,p19,970,472902,945805
storage,p20,940,397222,794443
storage,p21,900,390352,780704
storage,p22,890,341052,682104
storage,p23,860,279976,559951
storage,p24,840,393764,787528
storage,p25,810,215574,431147
storage,p26,780,285102,570205
storage,p27,760,269686,539373
storage,p28,760,293152,586303
storage,p29,780,275608,551217
storage,p30,720,238367,476734
storage,source,1890,53636,107272
transport-opt14-strips,p01,1090,4078018,8156037
transport-opt14-strips,p02,1070,3954928,7909857
transport-opt14-strips,p03,1050,1852364,3704728
transport-opt14-strips,p04,1060,1129191,2258382
transport-opt14-strips,p05,1040,1017792,2035584
transport-opt14-strips,p06,1020,838920,1677839
transport-opt14-strips,p07,1070,3970574,7941148
transport-opt14-strips,p08,1060,2115654,4231307
transport-opt14-strips,p09,1030,1379248,2758495
transport-opt14-strips,p10,1000,939308,1878616
transport-opt14-strips,p11,960,871447,1742894
transport-opt14-strips,p12,960,772306,1544611
transport-opt14-strips,p13,1050,2755658,5511316
transport-opt14-strips,p14,1020,2126634,4253268
transport-opt14-strips,p15,1010,1398563,2797126
transport-opt14-strips,p16,970,806307,1612614
transport-opt14-strips,p17,960,849266,1698533
transport-opt14-strips,p18,950,767526,1535052
transport-opt14-strips,p19,940,711546,1423091
transport-opt14-strips,p20,940,703113,1406226
transport-opt14-strips,p31,710,237456,474911
transport-opt14-strips,p32,660,171368,342735
transport-opt14-strips,p33,690,211836,423673
transport-opt14-strips,p34,480,234658,469317
transport-opt14-strips,p35,460,149909,299818
visitall-opt14-strips,p-05-10,1020,3297667,6595334
visitall-opt14-strips,p-05-5,1110,4111034,8222069
visitall-opt14-strips,p-05-6,1100,4130931,8261862
visitall-opt14-strips,p-05-7,1070,3041398,6082797
visitall-opt14-strips,p-05-8,1060,3431784,6863567
visitall-opt14-strips,p-05-9,1040,3417986,6835971
visitall-opt14-strips,p-1-10,1020,3935769,7871538
visitall-opt14-strips,p-1-11,1010,3640448,7280897
visitall-opt14-strips,p-1-12,990,3439530,6879061
visitall-opt14-strips,p-1-13,970,3133133,6266266
visitall-opt14-strips,p-1-14,960,2750582,5501164
