domain,problem,epochs_1800s,expansions_300s,expansions_600s
blocks,prob-B-18-4,970,830900,1661800
blocks,prob-B-20-1,950,877100,1754100
blocks,prob-B-25-2,1020,1200700,2401500
blocks,prob-B-30-1,810,940100,1880200
blocks,prob-B-35-2,740,660600,1321300
blocks,probBLOCKS-10-0,1050,1881600,3763300
blocks,probBLOCKS-10-1,1050,1939100,3878300
blocks,probBLOCKS-10-2,1030,1955900,3911700
blocks,probBLOCKS-11-0,1200,1676800,3353600
blocks,probBLOCKS-11-1,1220,1769700,3539500
blocks,probBLOCKS-11-2,1220,1720900,3441800
blocks,probBLOCKS-12-0,1010,1500400,3000900
blocks,probBLOCKS-12-1,1010,1376400,2752900
blocks,probBLOCKS-13-0,990,1215600,2431200
blocks,probBLOCKS-13-1,1000,1247000,2494000
blocks,probBLOCKS-14-0,990,1152000,2303900
blocks,probBLOCKS-14-1,990,1051300,2102600
blocks,probBLOCKS-15-0,1010,1340400,2680900
blocks,probBLOCKS-15-1,1020,1480000,2960100
blocks,probBLOCKS-16-1,990,1153400,2306700
blocks,probBLOCKS-16-2,990,1081400,2162800
blocks,probBLOCKS-17-0,970,930000,1860000
blocks,probBLOCKS-4-0,1080,612700,1225500
blocks,probBLOCKS-4-1,1080,611700,1223500
blocks,probBLOCKS-4-2,1080,579600,1159200
blocks,probBLOCKS-5-0,1080,2233900,4467800
blocks,probBLOCKS-5-1,1080,2261100,4522200
blocks,probBLOCKS-5-2,1080,2222400,4444800
blocks,probBLOCKS-6-0,1110,3816000,7631900
blocks,probBLOCKS-6-1,1070,3762400,7524800
blocks,probBLOCKS-6-2,1080,3730600,7461100
blocks,probBLOCKS-7-0,1080,4029900,8059800
blocks,probBLOCKS-7-1,1080,3950400,7900800
blocks,probBLOCKS-7-2,1060,4050700,8101400
blocks,probBLOCKS-8-0,1040,4133200,8266300
blocks,probBLOCKS-8-1,1060,4163600,8327100
blocks,probBLOCKS-8-2,1080,4152100,8304100
blocks,probBLOCKS-9-0,1050,3838000,7676000
blocks,probBLOCKS-9-1,1040,3726700,7453300
blocks,probBLOCKS-9-2,1030,3623600,7247200
blocks,source,1040,1930700,3861500
depot,p01,1060,1807500,3615100
depot,p02,1050,3990900,7981800
depot,p03,1040,3954100,7908100
depot,p04,1020,1003100,2006200
depot,p05,990,922700,1845400
depot,p06,940,776400,1552800
depot,p07,1040,1108200,2216500
depot,p08,990,655800,1311600
depot,p09,940,595900,1191800
depot,p10,1230,2323300,4646700
depot,p11,970,550700,1101500
depot,p12,910,450500,900900
depot,p13,1010,723500,1447000
depot,p14,980,419300,838600
depot,p15,900,404800,809500
depot,p16,1020,399000,797900
depot,p17,970,273800,547600
depot,p18,880,217800,435600
depot,p19,960,315700,631400
depot,p20,840,323100,646300
depot,p21,840,127800,255700
depot,p22,690,80800,161600
grid,prob01,980,2222500,4445000
grid,prob02,930,1933100,3866200
grid,prob03-0,870,1447500,2895000
grid,prob04-0,800,1504800,3009600
grid,prob04-1,810,1595600,3191200
grid,prob04-2,810,1594300,3188700
grid,prob04-3,810,1545900,3091800
grid,prob04-4,810,1563600,3127200
grid,prob05-0,750,1413900,2827900
grid,prob05-1,750,1659300,3318600
grid,prob05-2,750,1571300,3142600
grid,prob05-3,750,1578000,3156000
grid,prob05-4,760,1671000,3342000
npuzzle,prob-n3-1,1060,4097700,8195300
npuzzle,prob-n3-2,1070,4058300,8116700
npuzzle,prob-n3-3,1070,4158500,8317000
npuzzle,prob-n3-4,1070,4063200,8126400
npuzzle,prob-n4-1,1020,2084100,4168200
npuzzle,prob-n4-2,1020,2076500,4152900
npuzzle,prob-n4-3,1020,2045400,4090900
npuzzle,prob-n4-4,1030,2048400,4096700
npuzzle,prob-n5-1,890,1543900,3087700
npuzzle,prob-n5-2,910,1585500,3171100
npuzzle,prob-n5-3,930,1604500,3209100
npuzzle,prob-n5-4,880,1537500,3075100
npuzzle,prob-n6-1,740,1263300,2526500
npuzzle,prob-n6-2,740,1262400,2524800
npuzzle,prob-n6-3,730,1264300,2528600
npuzzle,prob-n6-4,720,1265500,2530900
npuzzle,prob-n7-1,620,1065700,2131400
npuzzle,prob-n7-2,610,1033900,2067700
npuzzle,prob-n7-3,610,1028600,2057200
