domain,pct,epochs
blocks,100,400
blocks,10,3610
blocks,15,2570
blocks,1,26460
blocks,20,1950
blocks,25,1590
blocks,50,790
blocks,5,6360
blocks,75,540
grid,100,60
grid,10,570
grid,15,390
grid,1,4950
grid,20,290
grid,25,230
grid,50,120
grid,5,1120
grid,75,80
npuzzle,100,150
npuzzle,10,1390
npuzzle,15,930
npuzzle,1,11020
npuzzle,20,700
npuzzle,25,580
npuzzle,50,280
npuzzle,5,2760
npuzzle,75,190
rovers,100,50
rovers,10,460
rovers,15,310
rovers,1,4370
rovers,20,230
rovers,25,190
rovers,50,90
rovers,5,930
rovers,75,60
scanalyzer,100,590
scanalyzer,10,5550
scanalyzer,15,3760
scanalyzer,1,39210
scanalyzer,20,2880
scanalyzer,25,2260
scanalyzer,50,1170
scanalyzer,5,10080
scanalyzer,75,760
transport,100,40
transport,10,380
transport,15,260
transport,1,3510
transport,20,190
transport,25,160
transport,50,80
transport,5,770
transport,75,60
visitall-opt14-strips,100,220
visitall-opt14-strips,10,2100
visitall-opt14-strips,15,1390
visitall-opt14-strips,1,17390
visitall-opt14-strips,20,1050
visitall-opt14-strips,25,850
visitall-opt14-strips,50,420
visitall-opt14-strips,5,4090
visitall-opt14-strips,75,280
